id,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,instant_bookable,cancellation_policy,host_active,phone,email,id_verification,review,photo,socials,others,air_con,wifi,washer,essentials,kitchen,hangers,iron,tv,hair_dryer,shampoo,laptop_workspace,elevator,dryer,hot_water,bedroom_lock,pool,refrigerator,long_term_stays,gym,microwave,bedrooms_per_accommodates
28794509,0,135,0,Kallang,Central Region,1.3098100000000001,103.8718,1,Hostel,Hotel room,10,2.0,1.0,10.0,Real Bed,3.2188758248682006,0.0,0.0,1,23.0,1,85,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.1
28812814,0,4,0,Marine Parade,Central Region,1.30603,103.9134,1,Condominium,Private room,1,2.5,1.0,0.0,Real Bed,3.828641396489095,0.0,0.0,1,10.0,1,86,1,strict_14_with_grace_period,1161.0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1.0
28813059,1,5,0,Novena,Central Region,1.3216,103.85338,0,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,4.382026634673881,0.0,20.0,1,10.0,90,1,1,flexible,2442.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0.3333333333333333
28813662,1,5,0,Novena,Central Region,1.32159,103.85339,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.356708826689592,0.0,20.0,1,10.0,15,70,1,flexible,2442.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0.5
28821061,0,23,1,Geylang,Central Region,1.31196,103.88194,0,Condominium,Entire home/apt,5,1.0,1.0,3.0,Real Bed,4.77912349311153,150.0,50.0,3,12.0,2,62,1,moderate,2940.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0.2
28824676,0,1,0,River Valley,Central Region,1.29681,103.83755,0,Condominium,Entire home/apt,3,1.0,0.0,2.0,Real Bed,5.099866427824199,1500.0,500.0,1,0.0,90,83,1,strict_14_with_grace_period,2244.0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0.0
28836054,0,1,1,Bedok,East Region,1.3242,103.91297,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3.9889840465642745,0.0,0.0,1,0.0,90,83,0,flexible,1792.0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0.5
28853924,0,135,0,Bedok,East Region,1.3193,103.91305,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,4.7535901911063645,0.0,0.0,1,0.0,6,74,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0.5
28859348,0,135,0,Bedok,East Region,1.32071,103.9111,1,Serviced apartment,Hotel room,2,1.0,1.0,1.0,Real Bed,4.61512051684126,0.0,0.0,1,0.0,6,90,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0.5
28859498,0,135,0,Bedok,East Region,1.31985,103.91288,1,Serviced apartment,Hotel room,2,1.0,1.0,1.0,Real Bed,4.61512051684126,0.0,0.0,1,0.0,6,90,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0.5
